City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,12.92,55,85,6.49,RU,1689583645
1,krasnokholmskiy,55.9873,55.0466,22.47,63,99,4.2,RU,1689583646
2,port-aux-francais,-49.35,70.2167,1.55,95,100,15.1,TF,1689583646
3,vorgashor,67.5833,63.95,16.57,81,100,6.07,RU,1689583646
4,talnakh,69.4865,88.3972,10.67,86,100,5.0,RU,1689583646
5,waingapu,-9.6567,120.2641,26.44,65,2,6.56,ID,1689583646
6,fangshan,39.6983,115.9925,38.04,18,0,4.63,CN,1689583647
7,puerto ayora,-0.7393,-90.3518,24.75,95,45,0.89,EC,1689583647
8,wailua homesteads,22.0669,-159.378,25.44,88,100,7.2,US,1689583647
9,tomatlan,19.9333,-105.25,25.32,96,96,0.61,MX,1689583647
10,fort bragg,35.139,-79.006,23.44,93,0,1.54,US,1689583647
11,farah,32.5,62.5,40.21,5,0,3.03,AF,1689583648
12,whitehorse,60.7161,-135.0538,18.43,52,100,6.69,CA,1689583648
13,badger,64.8,-147.5333,17.95,75,100,4.63,US,1689583648
14,la passe,45.5549,-0.8967,21.12,58,1,1.44,FR,1689583648
15,bafoulabe,13.8065,-10.8321,26.6,75,100,1.15,ML,1689583649
16,kangding,30.0513,101.9603,18.92,73,91,3.57,CN,1689583649
17,port mathurin,-19.6833,63.4167,23.28,77,35,12.17,MU,1689583649
18,hithadhoo,-0.6,73.0833,28.22,69,83,1.46,MV,1689583649
19,port elizabeth,-33.918,25.5701,18.16,68,0,0.51,ZA,1689583649
20,yellowknife,62.456,-114.3525,19.2,68,100,4.12,CA,1689583622
21,tindouf,27.6711,-8.1474,34.25,29,20,3.09,DZ,1689583650
22,blackmans bay,-43.0167,147.3167,13.07,69,100,3.69,AU,1689583650
23,utrik,11.2278,169.8474,28.25,80,39,6.97,MH,1689583650
24,geraldton,-28.7667,114.6,18.23,55,0,5.14,AU,1689583650
25,waitangi,-43.9535,-176.5597,8.23,88,6,0.45,NZ,1689583651
26,port hueneme,34.1478,-119.1951,22.32,92,100,2.57,US,1689583651
27,qamdo,31.1667,97.2333,11.81,59,76,2.46,CN,1689583651
28,kodiak,57.79,-152.4072,11.73,87,100,3.6,US,1689583651
29,chengde,40.9725,117.9361,34.48,24,10,1.35,CN,1689583652
30,sparti,37.0733,22.4297,35.67,23,0,4.68,GR,1689583652
31,bredasdorp,-34.5322,20.0403,17.48,67,100,3.08,ZA,1689583652
32,bethel,41.3712,-73.414,23.28,80,100,0.0,US,1689583652
33,nikolayevsk-on-amure,53.1406,140.73,23.65,58,1,1.93,RU,1689583652
34,ralston,41.2053,-96.0425,20.82,93,0,4.12,US,1689583653
35,roma,43.2128,-75.4557,19.29,95,0,2.57,US,1689583388
36,lenino,45.2986,35.7771,28.13,35,0,4.73,UA,1689583653
37,afaahiti,-17.75,-149.2833,21.93,64,5,3.31,PF,1689583653
38,isafjordur,66.0755,-23.124,6.02,93,100,0.0,IS,1689583654
39,walvis bay,-22.9575,14.5053,28.53,17,0,8.23,NA,1689583654
40,la paz,-16.5,-68.15,3.65,73,20,1.03,BO,1689583478
41,stanley,54.868,-1.6985,18.21,65,20,7.72,GB,1689583654
42,avarua,-21.2078,-159.775,20.03,73,100,1.03,CK,1689583654
43,labrador city,52.9463,-66.9114,17.95,94,100,2.06,CA,1689583654
44,pacific grove,36.6177,-121.9166,17.12,92,0,1.34,US,1689583655
45,baruun-urt,46.6806,113.2792,31.93,20,32,5.31,MN,1689583655
46,irbit,57.6705,63.071,25.28,48,57,4.82,RU,1689583655
47,yerofey pavlovich,53.9667,121.9667,30.53,32,65,2.84,RU,1689583655
48,shanhaiguan,39.9988,119.7564,28.65,53,0,3.93,CN,1689583655
49,gorontalo,0.5412,123.0595,26.65,77,100,1.74,ID,1689583656
50,iskateley,67.6803,53.1512,21.5,48,8,6.61,RU,1689583656
51,edinburgh of the seven seas,-37.0676,-12.3116,12.9,66,23,9.94,SH,1689583656
52,coquimbo,-29.9533,-71.3436,8.85,100,75,1.03,CL,1689583656
53,atafu village,-8.5421,-172.5159,28.64,78,11,7.7,TK,1689583656
54,papatowai,-46.5619,169.4708,10.67,82,84,8.23,NZ,1689583656
55,minas de marcona,-15.2119,-75.1103,12.07,86,86,4.34,PE,1689583657
56,ostersund,63.1792,14.6357,19.78,54,0,12.07,SE,1689583657
57,qorveh,35.1664,47.8045,29.74,14,0,2.79,IR,1689583657
58,west island,-12.1568,96.8225,25.99,65,75,8.75,CC,1689583657
59,gulma,12.6423,4.3555,31.6,53,99,3.81,NG,1689583657
60,peniche,39.3558,-9.3811,22.27,75,0,7.5,PT,1689583658
61,santa ana de yacuma,-13.75,-65.4333,21.01,75,9,2.15,BO,1689583658
62,uturoa,-16.7333,-151.4333,25.63,65,9,5.36,PF,1689583658
63,grytviken,-54.2811,-36.5092,-5.84,89,89,1.97,GS,1689583658
64,vila velha,-20.3297,-40.2925,17.97,95,0,2.06,BR,1689583658
65,saipan,15.1355,145.701,30.39,100,40,5.14,MP,1689583658
66,ballina,-28.8667,153.5667,14.88,77,29,3.09,AU,1689583659
67,shingu,33.7333,135.9833,29.89,70,0,1.76,JP,1689583659
68,tabou,4.423,-7.3528,25.68,84,97,4.36,CI,1689583659
69,alushta,44.6667,34.4167,26.63,46,0,0.81,UA,1689583659
70,abreus,22.2775,-80.5675,26.17,89,73,2.79,CU,1689583659
71,kuanda,56.3161,116.0806,26.74,52,46,1.83,RU,1689583660
72,margate,51.3813,1.3862,19.27,66,56,4.92,GB,1689583634
73,egilsstadir,65.2653,-14.3948,8.95,71,75,6.17,IS,1689583660
74,chabahar,25.2919,60.643,30.42,74,3,5.2,IR,1689583660
75,ola,59.5833,151.2833,13.78,91,37,2.2,RU,1689583660
76,sandnessjoen,66.0217,12.6316,16.29,77,75,7.72,NO,1689583660
77,lihue,21.9789,-159.3672,25.77,84,100,7.2,US,1689583661
78,bilibino,68.0546,166.4372,22.94,47,100,2.11,RU,1689583661
79,al wafrah,28.6392,47.9306,46.8,5,0,4.76,KW,1689583412
80,arkhangel'sk,64.5401,40.5433,26.79,36,45,4.36,RU,1689583661
81,ilulissat,69.2167,-51.1,5.01,100,100,2.06,GL,1689583661
82,es castell,39.8795,4.2854,28.38,78,40,6.17,ES,1689583661
83,freetown,8.484,-13.2299,24.84,94,75,4.12,SL,1689583533
84,invercargill,-46.4,168.35,10.43,82,90,7.56,NZ,1689583662
85,bel ombre,-4.6167,55.4167,27.91,74,20,6.69,SC,1689583662
86,shimanovsk,52.0,127.7,31.12,33,36,1.08,RU,1689583662
87,arraial do cabo,-22.9661,-42.0278,19.92,94,0,2.06,BR,1689583662
88,tazovsky,67.4667,78.7,19.98,53,35,7.22,RU,1689583663
89,kharp,66.8014,65.8081,17.25,75,100,3.95,RU,1689583663
90,tsrar sharif,33.8667,74.7667,27.99,51,28,1.7,IN,1689583663
91,caxito,-8.5785,13.6643,28.58,53,10,1.6,AO,1689583663
